[apexd.status]: [ready]
[vendor.ril.ecc.service.category.list]: [;112,31]
[vendor.ril.ecc.service.category.list.1]: []
[vendor.ril.ecc.service.category.mcc]: [204]
[vendor.ril.ecc.service.category.mcc.1]: [204]
[vendor.ril.epdg.interface.ctrl]: [1]
[vendor.ril.fd.mode]: [1]
[vendor.ril.ia.iccid]: [89860125801351200730]
[vendor.ril.iccid.sim1]: [89860125801351200730]
[vendor.ril.iccid.sim2]: [898600521617F1117114]
[vendor.ril.ipo.radiooff]: [0]
[vendor.ril.ipo.radiooff.2]: [0]
[vendor.ril.mal]: [1]
[vendor.ril.mal.flag]: [0]
[vendor.ril.mal.socket]: [rilproxy-mal]
[vendor.ril.md.version]: [3]
[vendor.ril.mtk]: [1]
[vendor.ril.mux.ee.md1]: [0]
[vendor.ril.mux.report.case]: [0]
[vendor.ril.mux.start]: [1]
[vendor.ril.muxreport.run]: [0]
[vendor.ril.nw.ctzv_dst]: [1]
[vendor.ril.nw.ctzv_tz]: [+8]
[vendor.ril.nw.erat.ext.support]: [1]
[vendor.ril.nw.operator.mccmnc.1]: [20404]
[vendor.ril.nw.operator.mccmnc.2]: [20408]
[vendor.ril.nw.signalstrength.lte.1]: [-113,0]
[vendor.ril.nw.signalstrength.lte.2]: [2147483647,2147483647]
[vendor.ril.nw.worldmode.activemode]: [1]
[vendor.ril.nw.worldmode.keep_3g_mode]: [0]
[vendor.ril.pid.1]: [860]
[vendor.ril.radio.ia]: [89860125801351200730,IPV4V6,3,,0,IPV4V6]
[vendor.ril.radio.ia-apn]: [3gnet]
[vendor.ril.ready.sim]: [true]
[vendor.ril.rilproxy]: [1]
[vendor.ril.simswitch.tpluswsupport]: [-1]
[vendor.ril.special.ecclist]: []
[vendor.ril.special.ecclist1]: []
[vendor.ril.uim.subscriberid.1]: []
[vendor.ril.uim.subscriberid.2]: []
[vendor.ril.volte.mal.last_roam_stat_0]: [2,190,775955087,1]
[vendor.ril.volte.mal.last_roam_stat_1]: [2,0,0,0]
[vendor.ril.volte.mal.last_vroam_stat_0]: [2,190,781372318,1]
[vendor.ril.volte.mal.last_vroam_stat_1]: [2,0,0,0]
[vendor.ril.volte.mal.latency]: [65535]
[vendor.ril.volte.mal.opkey]: [0x0001]
[vendor.ril.volte.mal.pkterrth]: [99]
[vendor.ril.volte.mal.rb_hoddc_t]: [3]
[vendor.ril.volte.mal.rb_hol2w_t]: [10]
[vendor.ril.volte.mal.rb_how2l_t]: [150]
[vendor.ril.volte.mal.retranth]: [99]
[vendor.ril.volte.mal.throupt]: [65535]
[vendor.ril.volte.mal.vijit]: [3]
[vendor.ril.volte.mal.vojit]: [26]
[vendor.service.nvram_init]: [Ready]
[vendor.wlan.driver.version]: [11_70_20170324_1]
[vendor.wlan.firmware.version]: [b.1.8a]
[vold.has_adoptable]: [1]
[vold.has_quota]: [1]
[vold.has_reserved]: [0]
[vold.post_fs_data_done]: [1]
[wifi.active.interface]: [wlan0]
[wlan.driver.status]: [ok]
